branch,geom,direction,k_swing,signal_bar,signal_time,entry_bar,entry_time,entry,sl,tp,r_usd,invalidation,exit_bar,exit_time,exit,reason,gross_r,cost_r,net_r,mae_r,mfe_r,hold_bars,w3_class,ratio31,fib_ok,ret2,ret4,d1_close,d1_ema200,h4_bear,rsi_h1,atr_m15,kind
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,42150,2023-09-29 02:45:00,42151,2023-09-29 03:00:00,1871.0,1872.1148718616455,1869.3276922075318,1.1148718616454971,1874.0,42156,2023-09-29 04:15:00,1872.1148718616455,SL,-1.0,0.4664213152106154,-1.4664213152106154,-1.7939281354254437,0.8969640677127219,6,B,1.2222222222222223,False,0.4444444444444444,0.5454545454545454,1871.0,1901.819000503624,True,31.110781946020012,1.4864958155273358,IMPULSE_W5
B07_SHORT_H4_ALIGNED,G_PROD,-1,2.0,42378,2023-10-03 11:45:00,42379,2023-10-03 12:00:00,1829.0,1830.4744300785133,1826.7883548822301,1.474430078513251,1838.0,42387,2023-10-03 14:00:00,1830.4744300785133,SL,-1.0,0.3526786434826022,-1.3526786434826021,-1.3564563210869316,0.6782281605434658,9,C,2.6666666666666665,False,0.8333333333333334,0.5,1840.0,1900.8313219708427,True,27.52604863685582,1.9659067713509912,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,43577,2023-10-19 23:30:00,43578,2023-10-19 23:45:00,1962.0,1958.940537493249,1966.5891937601266,3.0594625067510606,1953.0,43579,2023-10-20 00:00:00,1958.940537493249,SL,-1.0,0.1699644950224294,-1.1699644950224295,-1.307419192480226,0.3268547981200565,2,C,3.0,False,0.875,0.375,1941.0,1898.0311464343922,False,71.91387543162402,3.059462506751005,IMPULSE_W5
B03_LONG_W3A_HV,G_PROD,1,2.0,45552,2023-11-17 13:15:00,45553,2023-11-17 13:30:00,1971.0,1968.7142779278693,1974.428583108196,2.2857220721307385,1967.0,45553,2023-11-17 13:30:00,1968.7142779278693,SL,-1.0,0.2274992250108775,-1.2274992250108774,-1.7499940385452113,0.0,1,A,0.5517241379310345,False,0.3448275862068966,0.3125,1960.0,1908.749947753617,False,62.17125404764048,2.2857220721307376,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,45716,2023-11-21 06:15:00,45717,2023-11-21 06:30:00,1982.0,1978.0946151416538,1987.8580772875193,3.905384858346224,1971.0,45719,2023-11-21 07:00:00,1978.0946151416538,SL,-1.0,0.13314948945139288,-1.133149489451393,-1.2802835524172391,0.7681701314503435,3,C,1.7142857142857142,True,0.6428571428571429,0.3333333333333333,1961.0,1909.8436840917552,False,65.324284477797,3.9053848583462605,IMPULSE_W5
B03_LONG_W3A_HV,G_PROD,1,2.0,46238,2023-11-28 16:45:00,46239,2023-11-28 17:00:00,2022.0,2018.9880437624147,2026.517934356378,3.0119562375853093,2012.0,46244,2023-11-28 18:15:00,2026.517934356378,TP,1.5,0.1726452707084765,1.3273547292915235,-0.6640202719556787,1.6600506798891967,6,A,0.8235294117647058,False,0.29411764705882354,0.5,1997.0,1913.4743183073465,False,74.13262571734754,3.011956237585259,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,47322,2023-12-13 23:45:00,47323,2023-12-14 00:00:00,2012.0,2007.4533437945795,2018.8199843081306,4.546656205420504,1997.0,47325,2023-12-14 00:30:00,2018.8199843081306,TP,1.499999999999975,0.11436976461516009,1.385630235384815,-0.439883710058308,1.5395929852040782,3,C,2.35,True,0.4,0.2553191489361702,1964.0,1923.5797151046206,False,78.81632822150942,4.54665620542059,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,47326,2023-12-14 00:45:00,47327,2023-12-14 01:00:00,2019.0,2014.5174133724745,2025.7238799412883,4.482586627525507,1997.0,47328,2023-12-14 01:15:00,2014.5174133724745,SL,-1.0,0.11600445082464636,-1.1160044508246463,-1.3385128941305349,0.22308548235508915,2,C,2.35,True,0.4,0.2553191489361702,2011.0,1924.4495686856692,False,80.95998121182159,4.482586627525445,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,52882,2024-03-04 21:45:00,52883,2024-03-04 22:00:00,2063.0,2057.7224288653456,2070.9163567019814,5.2775711346544085,2048.0,52886,2024-03-04 22:45:00,2070.9163567019814,TP,1.499999999999957,0.09853017358411242,1.4014698264158445,-0.7579244121854801,1.7053299274173304,4,C,4.0,False,0.8,0.36666666666666664,2019.0,1962.4235667226137,False,71.64557466181749,5.277571134654581,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,52887,2024-03-04 23:00:00,52888,2024-03-04 23:15:00,2074.0,2068.8171200628844,2081.774319905673,5.182879937115558,2048.0,52888,2024-03-04 23:15:00,2068.8171200628844,SL,-1.0,0.10033031949595902,-1.100330319495959,-1.9294292210761352,0.0,1,C,4.0,False,0.8,0.36666666666666664,2019.0,1962.4235667226137,False,77.47365927028278,5.182879937115679,IMPULSE_W5
B04_LONG_EXTW3_RSI,G_PROD,1,2.0,53134,2024-03-07 12:45:00,53135,2024-03-07 13:00:00,2136.0,2130.4958927373414,2144.2561608939877,5.504107262658636,2118.0,53141,2024-03-07 14:30:00,2130.4958927373414,SL,-1.0,0.0944749030470067,-1.0944749030470067,-1.8168250585962826,0.726730023438513,7,C,1.75,True,0.6666666666666666,0.30952380952380953,2111.0,1966.1493245993329,False,64.52416971461614,5.504107262658775,IMPULSE_W5
B01_LONG_CORE,G_PROD,1,2.0,55187,2024-04-05 22:00:00,55188,2024-04-05 22:15:00,2313.0,2308.5613816837963,2319.6579274743053,4.438618316203701,2300.0,55189,2024-04-05 22:30:00,2319.6579274743053,TP,1.4999999999999487,0.11715357414303422,1.3828464258569144,-0.6758860046713512,1.5770673442331529,2,B,1.3513513513513513,True,0.4594594594594595,0.4,2269.0,2007.1499636691449,False,65.87329022549528,4.4386183162034785,IMPULSE_W5
